# Synthetic Unihan_Readings.txt extracted from hexagram output
U+798F	kMandarin	fú
U+798F	kDefinition	happiness, good fortune, blessing
U+90DB	kMandarin	fú
U+90DB	kDefinition	outer walls of city; suburbs
U+5E9C	kMandarin	fǔ
U+5E9C	kDefinition	prefecture; prefect; government
U+8F14	kMandarin	fǔ
U+8F14	kDefinition	cheek bone; protective; assist
U+8F85	kMandarin	fǔ
U+8F85	kDefinition	cheek bone; protective; assist
U+590D	kMandarin	fù
U+590D	kDefinition	return; repeat; repeatedly
U+5A66	kMandarin	fù
U+5A66	kDefinition	married women; woman; wife
U+5BCC	kMandarin	fù
U+5BCC	kDefinition	abundant, ample; rich, wealthy
U+5FA9	kMandarin	fù
U+5FA9	kDefinition	return; repeat; repeatedly; hexagram ䷗
U+7236	kMandarin	fù
U+7236	kDefinition	father; Kangxi radical 88
U+8907	kMandarin	fù
U+8907	kDefinition	repeat, double, overlap
U+8986	kMandarin	fù
U+8986	kDefinition	cover; tip over; return; reply
U+8CA0	kMandarin	fù
U+8CA0	kDefinition	load, burden; carry, bear
U+84CB	kMandarin	gài
U+84CB	kDefinition	cover, hide, protect
U+7518	kMandarin	gān
U+7518	kDefinition	sweetness; sweet, tasty
U+6562	kMandarin	gǎn
U+6562	kDefinition	to dare, venture; bold, brave
U+5E72	kMandarin	gàn
U+5E72	kDefinition	oppose, offend; invade; dried
U+5E79	kMandarin	gàn
U+5E79	kDefinition	trunk of tree or of human body
U+521A	kMandarin	gāng
U+521A	kDefinition	hard, tough, rigid, strong
U+525B	kMandarin	gāng
U+525B	kDefinition	hard, tough, rigid, strong
U+7F94	kMandarin	gāo
U+7F94	kDefinition	lamb, kid
U+9AD8	kMandarin	gāo
U+9AD8	kDefinition	high, tall; lofty, elevated; Kangxi radical 189
U+69C1	kMandarin	gǎo
U+69C1	kDefinition	wither; withered, rotten, dead
U+683C	kMandarin	gé
U+683C	kDefinition	pattern, standard, form; style
U+9769	kMandarin	gé
U+9769	kDefinition	leather, animal hides; Kangxi radical 177; hexagram ䷰
U+5404	kMandarin	gè
U+5404	kDefinition	each, individually, every, all
U+8DDF	kMandarin	gēn
U+8DDF	kDefinition	heel; to follow, accompany; with
U+826E	kMandarin	gěn
U+826E	kDefinition	Kangxi radical 138; trigram ☶; hexagram ䷳
U+8015	kMandarin	gēng
U+8015	kDefinition	plow, cultivate
U+6897	kMandarin	gěng
U+6897	kDefinition	stem of flower, branch of plant
U+66F4	kMandarin	gèng
U+66F4	kDefinition	more, still further, much more; to change, alter
U+516C	kMandarin	gōng
U+516C	kDefinition	fair, equitable; public; duke
U+529F	kMandarin	gōng
U+529F	kDefinition	achievement, merit, good result
U+5F13	kMandarin	gōng
U+5F13	kDefinition	bow; curved, arched; Kangxi radical 57
U+72D7	kMandarin	gǒu
U+72D7	kDefinition	dog, Canis familiaris
U+59E4	kMandarin	gòu
U+59E4	kDefinition	mate; copulate; good; hexagram ䷫
U+5ABE	kMandarin	gòu
U+5ABE	kDefinition	marry; be on friendly terms with
U+5B64	kMandarin	gū
U+5B64	kDefinition	orphan, fatherless; solitary
U+8F9C	kMandarin	gū
U+8F9C	kDefinition	crime, criminal offense
U+7A40	kMandarin	gǔ
U+7A40	kDefinition	corn, grain, cereal; lucky
U+8831	kMandarin	gǔ
U+8831	kDefinition	poison; venom; harm; bewitch; hexagram ䷑
U+8C37	kMandarin	gǔ
U+8C37	kDefinition	valley, gorge, ravine; Kangxi radical 150
U+9F13	kMandarin	gǔ
U+9F13	kDefinition	drum; beat, top, strike; Kangxi radical 207
U+56FA	kMandarin	gù
U+56FA	kDefinition	to become solid, solidify; strength
U+6545	kMandarin	gù
U+6545	kDefinition	ancient, old; reason, because
U+5366	kMandarin	guà
U+5366	kDefinition	fortune telling; tell fortunes
U+8A7F	kMandarin	guà
U+8A7F	kDefinition	error, mistake; deceive, mislead
U+592C	kMandarin	guài
U+592C	kDefinition	parted; fork; certain; hexagram ䷪
U+89C0	kMandarin	guān
U+89C0	kDefinition	see, observe, view; appearance; hexagram ䷓
U+95DC	kMandarin	guān
U+95DC	kDefinition	frontier pass; close; relation
U+5149	kMandarin	guāng
U+5149	kDefinition	light, brilliant, shine; only
U+6B78	kMandarin	guī
U+6B78	kDefinition	return; return to, revert to
U+9F9C	kMandarin	guī
U+9F9C	kDefinition	turtle or tortoise; cuckold; Kangxi radical 213
U+9B3C	kMandarin	guǐ
U+9B3C	kDefinition	ghost; spirit of dead; devil; Kangxi radical 194; 23rd lunar mansion, determinative star θ Cancri
U+8CB4	kMandarin	guì
U+8CB4	kDefinition	expensive, costly, valuable
U+8D35	kMandarin	guì
U+8D35	kDefinition	expensive, costly, valuable
U+90ED	kMandarin	guō
U+90ED	kDefinition	outer part (of a city); surname
U+56FD	kMandarin	guó
U+56FD	kDefinition	nation, country, nation-state
U+570B	kMandarin	guó
U+570B	kDefinition	nation, country, nation-state
U+679C	kMandarin	guǒ
U+679C	kDefinition	fruit; result
U+904E	kMandarin	guò
U+904E	kDefinition	pass, pass through, go across
U+6D77	kMandarin	hǎi
U+6D77	kDefinition	sea, ocean; maritime
U+4EA5	kMandarin	hài
U+4EA5	kDefinition	twelfth earthly branch
U+5BB3	kMandarin	hài
