# Synthetic Unihan_Readings.txt extracted from hexagram output
U+5978	kMandarin	jiān
U+597D	kMandarin	hǎo
U+5983	kMandarin	fēi
U+5996	kMandarin	yāo
U+59AC	kMandarin	dù
U+59BA	kMandarin	mò
U+59BE	kMandarin	qiè
U+59D3	kMandarin	xìng
U+59D4	kMandarin	wěi
U+59EA	kMandarin	zhí
U+5A01	kMandarin	wēi
U+5A1B	kMandarin	yú
U+5A23	kMandarin	dì
U+5A36	kMandarin	qǔ
U+5A62	kMandarin	bì
U+5A92	kMandarin	méi
U+5AAF	kMandarin	guī
U+5ABF	kMandarin	kuì
U+5AC9	kMandarin	jí
U+5AD7	kMandarin	yù
U+5B30	kMandarin	yīng
U+5B34	kMandarin	yíng
U+5B54	kMandarin	kǒng
U+5B5D	kMandarin	xiào
U+5B5F	kMandarin	mèng
U+5B69	kMandarin	hái
U+5B7A	kMandarin	rú
U+5B7D	kMandarin	niè
U+5B85	kMandarin	zhái
U+5B87	kMandarin	yǔ
U+5B88	kMandarin	shǒu
U+5B8B	kMandarin	sòng
U+5B8C	kMandarin	wán
U+5B98	kMandarin	guān
U+5B99	kMandarin	zhòu
U+5B9B	kMandarin	wǎn
U+5BA0	kMandarin	chǒng
U+5BA2	kMandarin	kè
U+5BA3	kMandarin	xuān
U+5BAB	kMandarin	gōng
U+5BAE	kMandarin	gōng
U+5BB0	kMandarin	zǎi
U+5BB9	kMandarin	róng
U+5BBE	kMandarin	bīn
U+5BC5	kMandarin	yín
U+5BD0	kMandarin	mèi
U+5BD3	kMandarin	yù
U+5BDF	kMandarin	chá
U+5BE1	kMandarin	guǎ
U+5BE2	kMandarin	qǐn
U+5BE4	kMandarin	wù
U+5C04	kMandarin	shè
U+5C07	kMandarin	jiāng
U+5C0D	kMandarin	duì
U+5C0E	kMandarin	dǎo
U+5C1A	kMandarin	shàng
U+5C39	kMandarin	yǐn
U+5C3E	kMandarin	wěi
U+5C48	kMandarin	qū
U+5C4B	kMandarin	wū
U+5C55	kMandarin	zhǎn
U+5C68	kMandarin	jù
U+5CB8	kMandarin	àn
U+5CFB	kMandarin	jùn
U+5D07	kMandarin	chóng
U+5D11	kMandarin	kūn
U+5D17	kMandarin	gǎng
U+5D19	kMandarin	lún
U+5D29	kMandarin	bēng
U+5D53	kMandarin	yán
U+5D6C	kMandarin	wéi
U+5DD4	kMandarin	diān
U+5DDD	kMandarin	chuān
U+5DDE	kMandarin	zhōu
U+5DE1	kMandarin	xún
U+5DE6	kMandarin	zuǒ
U+5DE8	kMandarin	jù
U+5E03	kMandarin	bù
U+5E0C	kMandarin	xī
U+5E1B	kMandarin	bó
U+5E36	kMandarin	dài
U+5E6C	kMandarin	chóu
U+5E74	kMandarin	nián
U+5E78	kMandarin	xìng
U+5E86	kMandarin	qìng
U+5E87	kMandarin	bì
U+5E8A	kMandarin	chuáng
U+5E90	kMandarin	lú
U+5E9A	kMandarin	gēng
U+5EA6	kMandarin	dù
U+5EAB	kMandarin	kù
U+5EB7	kMandarin	kāng
U+5ED3	kMandarin	kuò
U+5EDA	kMandarin	chú
U+5EE3	kMandarin	guǎng
U+5F01	kMandarin	biàn
U+5F0A	kMandarin	bì
U+5F0B	kMandarin	yì
U+5F15	kMandarin	yǐn
U+5F18	kMandarin	hóng
U+5F1F	kMandarin	dì
U+5F53	kMandarin	dāng
U+5F58	kMandarin	zhì
U+5F80	kMandarin	wǎng
U+5F81	kMandarin	zhēng
U+5F85	kMandarin	dài
U+5F99	kMandarin	xǐ
U+5FAA	kMandarin	xún
U+5FCC	kMandarin	jì
U+5FCD	kMandarin	rěn
U+5FD2	kMandarin	tè
U+5FD8	kMandarin	wàng
U+5FE4	kMandarin	wǔ
U+5FFB	kMandarin	xīn
U+5FFD	kMandarin	hū
U+5FFF	kMandarin	fèn
U+6012	kMandarin	nù
U+6015	kMandarin	pà
U+6016	kMandarin	bù
U+6021	kMandarin	yí
U+602A	kMandarin	guài
U+602B	kMandarin	fú
U+6043	kMandarin	shì
U+6063	kMandarin	zì
U+6064	kMandarin	xù
U+6065	kMandarin	chǐ
U+606D	kMandarin	gōng
U+6076	kMandarin	è
U+6085	kMandarin	yuè
U+6096	kMandarin	bèi
U+609A	kMandarin	sǒng
U+60B5	kMandarin	chàng
U+60DF	kMandarin	wéi
U+60EB	kMandarin	bèi
U+6106	kMandarin	qiān
U+611B	kMandarin	ài
U+611F	kMandarin	gǎn
U+6127	kMandarin	kuì
U+6146	kMandarin	tāo
U+6148	kMandarin	cí
U+614E	kMandarin	shèn
U+6155	kMandarin	mù
U+6162	kMandarin	màn
U+6176	kMandarin	qìng
U+618A	kMandarin	bèi
U+6192	kMandarin	kuì
U+61A4	kMandarin	fèn
U+61F7	kMandarin	huái
U+61FC	kMandarin	jù
U+61FD	kMandarin	huān
U+6200	kMandarin	liàn
U+6208	kMandarin	gē
U+620E	kMandarin	róng
U+621F	kMandarin	jǐ
U+6232	kMandarin	xì
U+6236	kMandarin	hù
U+623E	kMandarin	lì
U+624D	kMandarin	cái
U+6263	kMandarin	kòu
U+6267	kMandarin	zhí
U+626C	kMandarin	yáng
U+6276	kMandarin	fú
U+627F	kMandarin	chéng
U+6280	kMandarin	jì
U+62AB	kMandarin	pī
U+62B1	kMandarin	bào
U+62B5	kMandarin	dǐ
U+62C2	kMandarin	fú
U+62CA	kMandarin	fǔ
U+62D8	kMandarin	jū
U+6307	kMandarin	zhǐ
U+632B	kMandarin	cuò
U+632F	kMandarin	zhèn
U+6350	kMandarin	juān
U+6355	kMandarin	bǔ
U+6387	kMandarin	duō
U+6388	kMandarin	shòu
U+63A2	kMandarin	tàn
U+63A5	kMandarin	jiē
U+63A8	kMandarin	tuī
U+63A9	kMandarin	yǎn
U+63AA	kMandarin	cuò
U+63DA	kMandarin	yáng
U+6414	kMandarin	sāo
U+6416	kMandarin	yáo
U+642F	kMandarin	tāo
U+6467	kMandarin	cuī
U+64AD	kMandarin	bō
U+64C5	kMandarin	shàn
U+64C7	kMandarin	zé
U+64D4	kMandarin	dān
U+64E2	kMandarin	zhuó
U+64FE	kMandarin	rǎo
U+652F	kMandarin	zhī
U+6538	kMandarin	yōu
U+6539	kMandarin	gǎi
U+653B	kMandarin	gōng
U+654F	kMandarin	mǐn
U+6551	kMandarin	jiù
U+6557	kMandarin	bài
U+6559	kMandarin	jiào
U+6582	kMandarin	liǎn
U+65A7	kMandarin	fǔ
U+65B0	kMandarin	xīn
U+65B2	kMandarin	zhuó
U+65B7	kMandarin	duàn
U+65B9	kMandarin	fāng
U+65C4	kMandarin	máo
U+65CB	kMandarin	xuán
U+65E6	kMandarin	dàn
U+65EC	kMandarin	xún
U+6607	kMandarin	shēng
U+660F	kMandarin	hūn
U+6625	kMandarin	chūn
U+662D	kMandarin	zhāo
U+663C	kMandarin	zhòu
U+664B	kMandarin	jìn
U+665A	kMandarin	wǎn
U+665D	kMandarin	zhòu
U+6662	kMandarin	zhé
U+6664	kMandarin	wù
U+6666	kMandarin	huì
U+6668	kMandarin	chén
U+666F	kMandarin	jǐng
U+6670	kMandarin	xī
U+6677	kMandarin	guǐ
U+667A	kMandarin	zhì
U+6691	kMandarin	shǔ
U+66F3	kMandarin	yè
U+66F8	kMandarin	shū
U+66F9	kMandarin	cáo
U+6700	kMandarin	zuì
U+6710	kMandarin	qú
U+671D	kMandarin	cháo
U+671F	kMandarin	qī
U+6731	kMandarin	zhū
U+674E	kMandarin	lǐ
U+6750	kMandarin	cái
U+675C	kMandarin	dù
U+675E	kMandarin	qǐ
U+675F	kMandarin	shù
U+6765	kMandarin	lái
U+677C	kMandarin	zhù
U+6797	kMandarin	lín
U+679D	kMandarin	zhī
U+67B3	kMandarin	zhǐ
U+67C5	kMandarin	nǐ
U+67DA	kMandarin	yòu
U+67EF	kMandarin	kē
U+67F1	kMandarin	zhù
U+67F3	kMandarin	liǔ
U+682A	kMandarin	zhū
U+6839	kMandarin	gēn
U+6843	kMandarin	táo
U+6848	kMandarin	àn
U+6850	kMandarin	tóng
U+6851	kMandarin	sāng
U+6874	kMandarin	fú
U+6881	kMandarin	liáng
U+6885	kMandarin	méi
U+68A7	kMandarin	wú
U+68A8	kMandarin	lí
U+68AF	kMandarin	tī
U+68C4	kMandarin	qì
U+68D7	kMandarin	zǎo
U+68D8	kMandarin	jí
U+6958	kMandarin	mù
U+695A	kMandarin	chǔ
U+6969	kMandarin	pián
U+6986	kMandarin	yú
U+69AE	kMandarin	róng
U+69FD	kMandarin	cáo
U+6A39	kMandarin	shù
U+6A48	kMandarin	ráo
U+6A5F	kMandarin	jī
U+6A6B	kMandarin	héng
U+6ADC	kMandarin	gāo
U+6B0A	kMandarin	quán
U+6B21	kMandarin	cì
U+6B23	kMandarin	xīn
U+6B3D	kMandarin	qīn
U+6B4C	kMandarin	gē
U+6B5B	kMandarin	hān
U+6B62	kMandarin	zhǐ
U+6B65	kMandarin	bù
U+6B72	kMandarin	suì
U+6B77	kMandarin	lì
U+6B8A	kMandarin	shū
U+6B98	kMandarin	cán
U+6BA4	kMandarin	shāng
U+6BB7	kMandarin	yīn
U+6BBA	kMandarin	shā
U+6BC0	kMandarin	huǐ
U+6BCB	kMandarin	wú
U+6BD2	kMandarin	dú
U+6C47	kMandarin	huì
U+6C59	kMandarin	wū
U+6C5C	kMandarin	sì
U+6C60	kMandarin	chí
U+6C61	kMandarin	wū
U+6C83	kMandarin	wò
U+6C89	kMandarin	chén
U+6C92	kMandarin	méi
U+6C96	kMandarin	chōng
U+6C99	kMandarin	shā
U+6C9B	kMandarin	pèi
U+6CB1	kMandarin	tuó
U+6CB8	kMandarin	fèi
U+6CD5	kMandarin	fǎ
U+6CDB	kMandarin	fàn
U+6CE2	kMandarin	bō
U+6CE5	kMandarin	ní
U+6D17	kMandarin	xǐ
U+6D25	kMandarin	jīn
U+6D2A	kMandarin	hóng
U+6D6E	kMandarin	fú
U+6D78	kMandarin	jìn
U+6D87	kMandarin	jīng
U+6D88	kMandarin	xiāo
U+6DBC	kMandarin	liáng
U+6DEB	kMandarin	yín
U+6DF1	kMandarin	shēn
U+6E05	kMandarin	qīng
U+6E1B	kMandarin	jiǎn
U+6E20	kMandarin	qú
U+6E21	kMandarin	dù
U+6E2D	kMandarin	wèi
U+6E38	kMandarin	yóu
U+6E4E	kMandarin	miǎn
U+6E6F	kMandarin	tāng
U+6EA2	kMandarin	yì
U+6EAB	kMandarin	wēn
U+6EBD	kMandarin	rù
U+6EC5	kMandarin	miè
U+6EEF	kMandarin	zhì
U+6F01	kMandarin	yú
U+6F0F	kMandarin	lòu
U+6F2C	kMandarin	zì
U+6F54	kMandarin	jié
U+6F64	kMandarin	rùn
U+6FA4	kMandarin	zé
U+6FC0	kMandarin	jī
U+6FC1	kMandarin	zhuó
U+6FE1	kMandarin	rú
U+6FF1	kMandarin	bīn
U+7006	kMandarin	dú
U+703C	kMandarin	ráng
U+704C	kMandarin	guàn
U+706D	kMandarin	miè
U+70CF	kMandarin	wū
U+70F9	kMandarin	pēng
U+7167	kMandarin	zhào
U+7169	kMandarin	fán
U+7187	kMandarin	hè
U+718A	kMandarin	xióng
U+7192	kMandarin	yíng
U+719F	kMandarin	shú
U+71BE	kMandarin	chì
U+71CB	kMandarin	jiāo
U+71CE	kMandarin	liáo
U+71DF	kMandarin	yíng
U+721B	kMandarin	làn
U+7235	kMandarin	jué
U+723E	kMandarin	ěr
U+7242	kMandarin	zāng
U+7259	kMandarin	yá
U+725D	kMandarin	pìn
U+7262	kMandarin	láo
U+7267	kMandarin	mù
U+7275	kMandarin	qiān
U+7279	kMandarin	tè
U+727D	kMandarin	qiān
U+727E	kMandarin	wǔ
U+7280	kMandarin	xī
U+7281	kMandarin	lí
U+72AC	kMandarin	quǎn
U+72C2	kMandarin	kuáng
U+72E2	kMandarin	hé
U+72E9	kMandarin	shòu
U+72EC	kMandarin	dú
U+72F8	kMandarin	lí
U+72F9	kMandarin	xiá
U+731B	kMandarin	měng
U+732C	kMandarin	wèi
U+732D	kMandarin	chuān
U+7333	kMandarin	jiā
U+7334	kMandarin	hóu
U+733F	kMandarin	yuán
U+736E	kMandarin	xiǎn
U+7375	kMandarin	liè
U+7378	kMandarin	shòu
U+737B	kMandarin	xiàn
U+7383	kMandarin	jué
U+7387	kMandarin	lǜ
U+7389	kMandarin	yù
U+73B3	kMandarin	dài
U+73E0	kMandarin	zhū
U+73EA	kMandarin	guī
U+742E	kMandarin	cóng
U+7441	kMandarin	mào
U+745A	kMandarin	hú
U+745F	kMandarin	sè
U+7489	kMandarin	liǎn
U+748B	kMandarin	zhāng
U+74A7	kMandarin	bì
U+74DC	kMandarin	guā
U+74F6	kMandarin	píng
U+7515	kMandarin	wèng
U+751A	kMandarin	shèn
U+752B	kMandarin	fǔ
U+752F	kMandarin	níng
U+7531	kMandarin	yóu
U+7533	kMandarin	shēn
U+754F	kMandarin	wèi
U+7554	kMandarin	pàn
U+7559	kMandarin	liú
U+755D	kMandarin	mǔ
U+7565	kMandarin	lüè
U+7570	kMandarin	yì
U+7574	kMandarin	chóu
U+7586	kMandarin	jiāng
U+7587	kMandarin	chóu
U+75A5	kMandarin	jiè
U+75DB	kMandarin	tòng
U+75E2	kMandarin	lì
U+7601	kMandarin	cuì
U+760D	kMandarin	yáng
U+7621	kMandarin	chuāng
U+7624	kMandarin	liú
U+7627	kMandarin	nüè
U+7643	kMandarin	lóng
U+766D	kMandarin	yǐng
U+7678	kMandarin	guǐ
U+7687	kMandarin	huáng
U+768B	kMandarin	gāo
U+76AE	kMandarin	pí
U+76C6	kMandarin	pén
U+76DF	kMandarin	méng
U+76E3	kMandarin	jiān
U+76E4	kMandarin	pán
U+76E5	kMandarin	guàn
U+76EA	kMandarin	dàng
U+7701	kMandarin	shěng
U+7707	kMandarin	miǎo
U+771F	kMandarin	zhēn
U+77E9	kMandarin	jǔ
U+77ED	kMandarin	duǎn
U+77F0	kMandarin	zēng
U+7825	kMandarin	dǐ
U+7834	kMandarin	pò
U+7855	kMandarin	shuò
U+78A9	kMandarin	shuò
U+792A	kMandarin	lì
U+793A	kMandarin	shì
U+7940	kMandarin	sì
U+7948	kMandarin	qí
U+7949	kMandarin	zhǐ
U+795A	kMandarin	zuò
U+7981	kMandarin	jìn
U+7984	kMandarin	lù
U+7998	kMandarin	dì
U+79A6	kMandarin	yù
U+79B1	kMandarin	dǎo
U+79BD	kMandarin	qín
U+79C0	kMandarin	xiù
U+79C9	kMandarin	bǐng
U+79CB	kMandarin	qiū
U+79E6	kMandarin	qín
U+79EF	kMandarin	jī
U+7A0D	kMandarin	shāo
U+7A20	kMandarin	chóu
U+7A31	kMandarin	chēng
U+7A3B	kMandarin	dào
U+7A3D	kMandarin	jī
U+7A46	kMandarin	mù
U+7A7D	kMandarin	jǐng
U+7A7F	kMandarin	chuān
U+7AA5	kMandarin	kuī
U+7ACA	kMandarin	qiè
U+7ADF	kMandarin	jìng
U+7AE5	kMandarin	tóng
U+7B11	kMandarin	xiào
U+7B31	kMandarin	gǒu
U+7B4B	kMandarin	jīn
U+7B50	kMandarin	kuāng
U+7B65	kMandarin	jǔ
U+7B95	kMandarin	jī
U+7BB1	kMandarin	xiāng
U+7BC9	kMandarin	zhù
U+7BE4	kMandarin	dǔ
U+7C1E	kMandarin	dān
U+7C21	kMandarin	jiǎn
U+7C65	kMandarin	yuè
U+7C9F	kMandarin	sù
U+7CB1	kMandarin	liáng
U+7CDF	kMandarin	zāo
U+7CE0	kMandarin	kāng
U+7CFB	kMandarin	xì
U+7D00	kMandarin	jì
U+7D04	kMandarin	yuē
U+7D06	kMandarin	yū
U+7D10	kMandarin	niǔ
U+7D1B	kMandarin	fēn
U+7D2B	kMandarin	zǐ
U+7D50	kMandarin	jié
U+7D61	kMandarin	luò
U+7D66	kMandarin	gěi
U+7D72	kMandarin	sī
U+7D8F	kMandarin	suī
U+7D93	kMandarin	jīng
U+7DA0	kMandarin	lǜ
U+7DAD	kMandarin	wéi
U+7DD2	kMandarin	xù
U+7DE9	kMandarin	huǎn
U+7DEF	kMandarin	wěi
U+7E1B	kMandarin	fù
U+7E1E	kMandarin	gǎo
U+7E2E	kMandarin	suō
U+7E31	kMandarin	zòng
U+7E41	kMandarin	fán
U+7E52	kMandarin	zēng
U+7E54	kMandarin	zhī
U+7E6B	kMandarin	xì
U+7E73	kMandarin	jiǎo
U+7E7C	kMandarin	jì
U+7E8D	kMandarin	léi
U+7E98	kMandarin	zuǎn
U+7EF4	kMandarin	wéi
U+7F3A	kMandarin	quē
U+7F54	kMandarin	wǎng
U+7F61	kMandarin	gāng
U+7F75	kMandarin	mà
U+7F79	kMandarin	lí
U+7F96	kMandarin	gǔ
U+7F9E	kMandarin	xiū
U+7FB8	kMandarin	léi
U+7FBD	kMandarin	yǔ
U+7FBF	kMandarin	yì
U+7FD2	kMandarin	xí
U+7FD4	kMandarin	xiáng
U+7FD5	kMandarin	xī
U+7FF1	kMandarin	áo
U+7FFC	kMandarin	yì
U+8001	kMandarin	lǎo
U+8004	kMandarin	mào
U+800B	kMandarin	dié
U+8017	kMandarin	hào
U+801C	kMandarin	sì
U+8026	kMandarin	ǒu
U+8033	kMandarin	ěr
U+805E	kMandarin	wén
U+8070	kMandarin	cōng
U+8077	kMandarin	zhí
U+807D	kMandarin	tīng
U+8085	kMandarin	sù
U+8089	kMandarin	ròu
U+809D	kMandarin	gān
U+80A4	kMandarin	fū
U+80A5	kMandarin	féi
U+80A9	kMandarin	jiān
U+80AF	kMandarin	kěn
U+80DC	kMandarin	shèng
U+80F8	kMandarin	xiōng
U+8105	kMandarin	xié
U+811B	kMandarin	jìng
U+8150	kMandarin	fǔ
U+816F	kMandarin	tú
U+8170	kMandarin	yāo
U+8173	kMandarin	jiǎo
U+8178	kMandarin	cháng
U+8179	kMandarin	fù
U+8189	kMandarin	yì
U+818F	kMandarin	gāo
U+819A	kMandarin	fū
U+81A0	kMandarin	jiāo
U+81C0	kMandarin	tún
U+81C6	kMandarin	yì
U+81DD	kMandarin	luǒ
U+81F4	kMandarin	zhì
U+81FA	kMandarin	tái
U+8202	kMandarin	chōng
U+8206	kMandarin	yú
U+820A	kMandarin	jiù
U+821E	kMandarin	wǔ
U+821F	kMandarin	zhōu
U+8239	kMandarin	chuán
U+826F	kMandarin	liáng
U+8270	kMandarin	jiān
U+8271	kMandarin	jiān
U+8272	kMandarin	sè
U+8292	kMandarin	máng
U+82B1	kMandarin	huā
U+82B3	kMandarin	fāng
U+82D1	kMandarin	yuàn
U+82DE	kMandarin	bāo
U+82DF	kMandarin	gǒu
U+82F1	kMandarin	yīng
U+8302	kMandarin	mào
U+8305	kMandarin	máo
U+8332	kMandarin	zī
U+8339	kMandarin	rú
U+8349	kMandarin	cǎo
U+8350	kMandarin	jiàn
U+8352	kMandarin	huāng
U+8363	kMandarin	róng
U+838A	kMandarin	zhuāng
U+83EF	kMandarin	huá
U+83F6	kMandarin	běng
U+83FD	kMandarin	shū
U+840B	kMandarin	qī
U+843D	kMandarin	luò
U+8449	kMandarin	yè
U+8457	kMandarin	zhù
U+8466	kMandarin	wěi
U+846C	kMandarin	zàng
U+84B8	kMandarin	zhēng
U+84BC	kMandarin	cāng
U+84EC	kMandarin	péng
U+84FC	kMandarin	liǎo
U+8511	kMandarin	miè
U+852D	kMandarin	yīn
U+853D	kMandarin	bì
U+854A	kMandarin	ruǐ
U+856D	kMandarin	xiāo
U+85A6	kMandarin	jiàn
U+85AA	kMandarin	xīn
U+85C1	kMandarin	gǎo
U+8606	kMandarin	lú
U+8607	kMandarin	sū
U+8616	kMandarin	niè
U+862D	kMandarin	lán
U+8650	kMandarin	nüè
U+865A	kMandarin	xū
U+865E	kMandarin	yú
U+866B	kMandarin	chóng
U+8675	kMandarin	shé
U+8695	kMandarin	cán
U+870E	kMandarin	yuān
U+8712	kMandarin	yán
U+873F	kMandarin	wān
U+8766	kMandarin	xiā
U+8778	kMandarin	wō
U+879F	kMandarin	míng
U+87BA	kMandarin	luó
U+87BD	kMandarin	zhōng
U+87C6	kMandarin	má
U+87E0	kMandarin	pán
U+8805	kMandarin	yíng
U+8815	kMandarin	rú
U+8853	kMandarin	shù
U+8858	kMandarin	xián
U+885D	kMandarin	chōng
U+8861	kMandarin	héng
U+8868	kMandarin	biǎo
U+8870	kMandarin	shuāi
U+8882	kMandarin	mèi
U+88AB	kMandarin	bèi
U+88CA	kMandarin	niǎo
U+88CE	kMandarin	chéng
U+88CF	kMandarin	lǐ
U+88D5	kMandarin	yù
U+88D9	kMandarin	qún
U+88DC	kMandarin	bǔ
U+890C	kMandarin	kūn
U+8913	kMandarin	bǎo
U+892B	kMandarin	chǐ
U+8930	kMandarin	qiān
U+8941	kMandarin	qiǎng
U+894C	kMandarin	dān
U+8962	kMandarin	tǎn
U+8966	kMandarin	rú
U+8981	kMandarin	yào
U+898F	kMandarin	guī
U+8996	kMandarin	shì
U+89C2	kMandarin	guān
U+89F8	kMandarin	chù
U+8A2D	kMandarin	shè
U+8A31	kMandarin	xǔ
U+8A48	kMandarin	lì
U+8A69	kMandarin	shī
U+8A70	kMandarin	jié
U+8A85	kMandarin	zhū
U+8A95	kMandarin	dàn
U+8AA5	kMandarin	gào
U+8ABF	kMandarin	diào
U+8AC2	kMandarin	chǎn
U+8AE7	kMandarin	xié
U+8AFE	kMandarin	nuò
U+8B00	kMandarin	móu
U+8B3E	kMandarin	mán
U+8B50	kMandarin	zǔn
U+8B8C	kMandarin	yàn
U+8B92	kMandarin	chán
U+8B9A	kMandarin	zàn
U+8BBE	kMandarin	shè
U+8BF0	kMandarin	gào
U+8BF4	kMandarin	shuō
U+8C4E	kMandarin	shù
U+8C55	kMandarin	shǐ
U+8C5A	kMandarin	tún
U+8C62	kMandarin	huàn
U+8C6D	kMandarin	jiā
U+8C79	kMandarin	bào
U+8C7A	kMandarin	chái
U+8CA1	kMandarin	cái
U+8CA7	kMandarin	pín
U+8CA8	kMandarin	huò
U+8CA9	kMandarin	fàn
U+8CAA	kMandarin	tān
U+8CAB	kMandarin	guàn
U+8CB7	kMandarin	mǎi
U+8CC0	kMandarin	hè
U+8CD3	kMandarin	bīn
U+8CDE	kMandarin	shǎng
U+8CE3	kMandarin	mài
U+8CE4	kMandarin	jiàn
U+8CE6	kMandarin	fù
U+8CEA	kMandarin	zhì
U+8CED	kMandarin	dǔ
U+8CF4	kMandarin	lài
U+8D04	kMandarin	zhì
U+8D16	kMandarin	shú
U+8D25	kMandarin	bài
U+8D2F	kMandarin	guàn
U+8D66	kMandarin	shè
U+8D85	kMandarin	chāo
U+8D8A	kMandarin	yuè
U+8D8D	kMandarin	chí
U+8DA8	kMandarin	qū
U+8DBE	kMandarin	zhǐ
U+8DE1	kMandarin	jī
U+8DEA	kMandarin	guì
U+8DF1	kMandarin	zhì
U+8E10	kMandarin	jiàn
U+8E1F	kMandarin	chí
U+8E27	kMandarin	cù
U+8E36	kMandarin	dì
U+8E60	kMandarin	zhí
U+8E62	kMandarin	dí
U+8E76	kMandarin	jué
U+8E81	kMandarin	zào
U+8E84	kMandarin	bì
U+8E85	kMandarin	zhú
U+8E91	kMandarin	zhí
U+8E95	kMandarin	chú
U+8EAC	kMandarin	gōng
U+8ECD	kMandarin	jūn
U+8EDF	kMandarin	ruǎn
U+8EEB	kMandarin	zhěn
U+8F08	kMandarin	zhōu
U+8F12	kMandarin	zhé
U+8F15	kMandarin	qīng
U+8F26	kMandarin	niǎn
U+8F2A	kMandarin	lún
U+8F3B	kMandarin	fú
U+8F42	kMandarin	gǔ
U+8F45	kMandarin	yuán
U+8F49	kMandarin	zhuǎn
U+8F66	kMandarin	chē
U+8F7D	kMandarin	zài
U+8F9B	kMandarin	xīn
U+8F9F	kMandarin	pì
U+8FA8	kMandarin	biàn
U+8FB1	kMandarin	rǔ
U+8FB2	kMandarin	nóng
U+8FCE	kMandarin	yíng
U+8FD4	kMandarin	fǎn
U+8FDC	kMandarin	yuǎn
U+8FE8	kMandarin	dài
U+8FF4	kMandarin	huí
U+8FFD	kMandarin	zhuī
U+9003	kMandarin	táo
U+9006	kMandarin	nì
U+900D	kMandarin	xiāo
U+901D	kMandarin	shì
U+902E	kMandarin	dǎi
U+9038	kMandarin	yì
U+903C	kMandarin	bī
U+9042	kMandarin	suì
U+904F	kMandarin	è
U+9054	kMandarin	dá
U+9059	kMandarin	yáo
U+905C	kMandarin	xùn
U+9069	kMandarin	shì
U+906D	kMandarin	zāo
U+906E	kMandarin	zhē
U+9077	kMandarin	qiān
U+907C	kMandarin	liáo
U+907F	kMandarin	bì
U+9084	kMandarin	hái
U+9091	kMandarin	yì
U+90AF	kMandarin	hán
U+90CA	kMandarin	jiāo
U+90E4	kMandarin	xì
U+90FD	kMandarin	dōu
U+9106	kMandarin	yùn
U+9119	kMandarin	bǐ
U+912D	kMandarin	zhèng
U+9130	kMandarin	lín
U+9132	kMandarin	dān
U+9149	kMandarin	yǒu
U+9177	kMandarin	kù
U+9187	kMandarin	chún
U+9189	kMandarin	zuì
U+919C	kMandarin	chǒu
U+91AB	kMandarin	yī
U+91B2	kMandarin	nóng
U+91B4	kMandarin	lǐ
U+91CB	kMandarin	shì
U+91DC	kMandarin	fǔ
U+91E3	kMandarin	diào
U+9285	kMandarin	tóng
U+92B3	kMandarin	ruì
U+92D2	kMandarin	fēng
U+932B	kMandarin	xī
U+932F	kMandarin	cuò
U+93A1	kMandarin	zī
U+9435	kMandarin	tiě
U+9444	kMandarin	zhù
U+9452	kMandarin	jiàn
U+9460	kMandarin	shuò
U+9521	kMandarin	xī
U+9594	kMandarin	mǐn
U+95A1	kMandarin	ài
U+95A3	kMandarin	gé
U+95C7	kMandarin	àn
U+95DA	kMandarin	kuī
U+95E2	kMandarin	pì
U+961C	kMandarin	fù
U+9632	kMandarin	fáng
U+9634	kMandarin	yīn
U+963F	kMandarin	ā
U+9644	kMandarin	fù
U+9668	kMandarin	yǔn
U+966C	kMandarin	zōu
U+9676	kMandarin	táo
U+9678	kMandarin	lù
U+9684	kMandarin	dī
U+9686	kMandarin	lóng
U+9694	kMandarin	gé
U+9695	kMandarin	yǔn
U+969B	kMandarin	jì
U+96BE	kMandarin	nán
U+96C0	kMandarin	què
U+96C1	kMandarin	yàn
U+96CD	kMandarin	yōng
U+96CE	kMandarin	jū
U+96D9	kMandarin	shuāng
U+96DA	kMandarin	guàn
U+96DB	kMandarin	chú
U+96EA	kMandarin	xuě
U+96F6	kMandarin	líng
U+96F7	kMandarin	léi
U+96F9	kMandarin	báo
U+96FB	kMandarin	diàn
U+9713	kMandarin	ní
U+9716	kMandarin	lín
U+971C	kMandarin	shuāng
U+9727	kMandarin	wù
U+9732	kMandarin	lù
U+9738	kMandarin	bà
U+9748	kMandarin	líng
U+9752	kMandarin	qīng
U+97D3	kMandarin	hán
U+9805	kMandarin	xiàng
U+9808	kMandarin	xū
U+980C	kMandarin	sòng
U+9813	kMandarin	dùn
U+9818	kMandarin	lǐng
U+9838	kMandarin	jǐng
U+984F	kMandarin	yán
U+9852	kMandarin	yóng
U+985B	kMandarin	diān
U+9867	kMandarin	gù
U+986F	kMandarin	xiǎn
U+987A	kMandarin	shùn
U+98EF	kMandarin	fàn
U+98FD	kMandarin	bǎo
U+98FE	kMandarin	shì
U+990A	kMandarin	yǎng
U+990C	kMandarin	ěr
U+9927	kMandarin	wèi
U+9928	kMandarin	guǎn
U+9999	kMandarin	xiāng
U+99D2	kMandarin	jū
U+99DF	kMandarin	sì
U+99E2	kMandarin	pián
U+99ED	kMandarin	hài
U+99EE	kMandarin	bó
U+9A02	kMandarin	xīng
U+9A05	kMandarin	zhuī
U+9A0F	kMandarin	qí
U+9A2B	kMandarin	qiān
U+9A2E	kMandarin	liú
U+9A30	kMandarin	téng
